contentId,catchphrase
1238766,영원한 사랑을 염원하는 낭만이 가득한 곳
1957476,심은 이수를 주향하는 서원
2732469,의령 자연에 녹아드는 캠핑
3304413,대한민국 버스킹씬의 최강자를 가려라!
2047895,천 년의 추억을 만들 수 있는 대승한지마을
134640,"신촌약수물에 인삼, 대추 등의 약재를 넣은 닭죽 전문점"
2730687,계곡의 물과 울창한 소나무 숲 사이에서 즐기는 야영장
2951844,선조들의 숨결이 고스란히 남아있는 풍수원유물전시관
2734919,눈과 입이 즐거운 다채로운 요리
1304431,쇼핑과 관광을 모두 즐길 수 있는 거리
2765514,매콤 칼칼한 버섯 칼국수 맛집
1608578,유기농 야채만을 취급하는 쌈밥 전문점
2869760,고추 탕수육이 맛있는 압구정 중식당
125463,험준한 암릉으로 이루어진 산
2741117,화려한 도심을 한눈에 조망할 수 있는 공원
3075600,일반인도 이용 가능한 가성비 좋은 가족숙소 해병대 복지시설
2616069,정성 가득 느껴지는 추어탕 맛집
3490410,숲 속의 공기를 가득 머금은 안락한 휴식처
2866534,자연과 조화를 이루는 여수 카페
126242,짙은 코발트색 바다의 물결이 한 폭의 그림인 해상공원
2784205,저수지 주변으로 산책하기 좋은 길
2743255,아름다운 속리산 경치에 청정계곡을 품은 캠핑장
130987,자연지형을 최대한 살린 코스가 매력적인 곳
2750783,어린이를 위한 자연 놀이터
2836462,옛 농협은행을 리모델링한 여행자 정보 카페
2524327,"숲의 터널에서 삶의 허기를 치유하다, 소백산 자락길"
2853567,이색 분위기 양식 레스토랑
2876092,티라미수가 맛있는 일산 카페
2485128,벚꽃 흩날리는 대릉원 돌담길을 온전히 걸으며 즐기는 경주벚꽃축제
2900253,연희동에서 즐길 수 있는 전통 중식
2732970,힐링 가득한 감성 캠핑과 수상레저를 동시에!
2670505,아름답고 청정한 자연 속 힐링의 시간
2867367,20여 년이 넘은 전통 흑염소 요리의 맛
2771833,충청도 천주교회의 시작과 중심
2752705,용문 관광단지와 연계하여 트레킹을 함께 할 수 있는 관광 명소
2740053,계곡 인근에서 보내는 휴식과 힐링 캠핑
801918,우수한 자연환경과 신선한 농산물이 가득한 마을
574014,낭만항구 목포에서! 파시 한 판!
2707453,"동양의 나폴리, 통영에서 느끼는 바다 향기"
2923515,신선한 제철 굴을 다양하게 맛볼 수 있는 곳
2574080,해산물요리가 맛있는 곳
2747577,일상을 떠나 자연과 함께하는 여유로운 시간
2925436,한번 먹으면 자꾸 생각나는 행복치킨
2930095,푸짐하고 맛있는 코스요리를 맛볼 수 있는 곳
2901247,수봉공원 입구에 위치한 수제 왕돈까스 맛집
2568287,다양한 구성의 프리미엄 조식 뷔페
130448,태초의 생명과 대자연의 역사가 펼쳐진다
2818859,Z세대 키워드로 즐기는 오프라인 고양시 청소년축제
2827675,글로벌 메타버스 허브 부산 BEXCO에서<br>최초로 개최되는 K-메타버스 엑스포 부산 2022
1944358,의성에서 떠나는 알찬 여행
2853109,자연과 여유가 가득한 김포 근린공원
2871546,반드시 사진을 찍어야 하는 명물 소망우체통
2848148,남도요리를 기반으로 한 웰빙 한정식
127300,동강의 절경인 어라연을 감상할 수 있는 전망대
2770347,나를 돌아보는 시간
2565356,부산의 스마트시티 서비스를 직접 체험할 수 있는 전시체험 공간
578999,신라 도선국사가 창건하고 조선 인현왕후가 머물렀던 고찰
2782794,환경을 생각하는 제로웨이스트 잡화점
2755525,"살만한 둔덕, 은둔과 힐링의 공간"
2908885,감성적이고 낭만적인 카라반 캠핑장
2027281,"""행차(行次)궁중과 사대부가의 특별한 날"
131342,시설좋은 수상방갈로가 완비된 바닥올림 전용 낚시터
134265,뽀얀 국물의 구수한 맛이 일품인 설렁탕 전문식당
126225,사천시 대방동 바깥쪽 바닷가에 있는 인공 항구
2810826,재료를 아낌없이 사용하여 만드는 수제돈까스
2747029,4천여평의 아름다운 자연속에 위치한 카페
2865420,나주 혁신 도시의 핫플레이스 베이커리 카페
129836,"문화, 예술 및 학문의 발전을 위해 노력하고 있는 박물관"
2782643,소문난 에그타르트 맛집
2773563,인제의 전통목기와 작품을 만날 수 있는 곳
126609,치열했던 도솔산 전투의 아픔이 담겨 있는 곳
134992,30년의 전통을 자랑하는 갈낙탕 맛집
3042004,아름다운 풍경이 있는 가족 나들이 공간
1625224,"조선전기에 창건된 교육시설, 고부향교"
3434294,디지털 실감형 기술을 융합하여 관객과 호흡하는 복합문화공간
3090428,눈썰매와 빙어 낚시를 즐길 수 있는 곳
2770375,자연 속 놀이터와 문화가 있는 힐링테마파크
2874808,일산 해물누룽지탕 전문점
1265750,"남해바다 용궁잔치, 미조항의 봄맛으로 열다!"
1958013,남한산성의 한식 맛집
2912212,연꽃과 능소화가 장관을 이루는 정자
798381,비빔국수가 인기있는 국수 전문점
2860722,서귀포항이 보이는 호텔 카페 레스토랑
851936,서해 최상품 꽃게로 만든 간장게장과 양념간장
3015608,용암자국이 선명한 비밀스런 숲속에서 초록으로 물들다
822384,반려동물과 함께 거니는 생명의 숲
2717290,미탄면에 거주하는 청년 5명의 협동조합
3021170,부산의 매력적인 장소와 다채로운 음악이 만나 아름다운 밤을 만들어가는 뮤직 릴레이 콘서트
2841197,이국적 분위기의 창고형 베이커리 카페
798017,동강과 조화를 이루는 조각 전문 미술관
2749036,내손동의 누룽지 백숙 전문점
2854712,숲속의 카페
2841994,돌하르방 케이크가 재밌는 한림카페
2661452,동화로 꾸며진 숲 놀이터
1393351,조선시대 전통 가옥구조를 계승한 고가
2762220,다양한 체험시설과 볼거리가 있는 최적의 캠핑장
2905706,칼칼하고 푸짐한 해물찜이 있는 현지인 맛집
1959190,신촌마을 야산 자락 아래에 자리하고 있는 서원
3075594,아쿠아리움과 동물원을 한번에 누리는 테마파크
2532877,우수한 접근성과 편의시설이 마련된 대규모 쇼핑 플레이스
2752983,도심 속 힐링 외식공간
